System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:52:41:989, 205233672993,    0.105,    3.000,  500,   5.111,   0.537,   0.149,   1.227,   0.129,   0.036, 47,  0,   0.000,   0.000,   0.000,   0.213,   0.022,   0.006,  19.000,  40.000, 121.000,   0.000,   0.000,    6,  95.341
13:52:42:098, 205505644201,    0.214,    5.000, 4300,   6.652,   1.262,   0.350,   3.119,   0.469,   0.130, 49,  0,   0.000,   0.000,   0.000,   0.035,   0.026,   0.007,  19.000,  40.000, 121.000,   0.000,   0.000,    5,  88.220
13:52:42:208, 205781418072,    0.324,    4.000,  600,   7.377,   2.077,   0.577,   3.191,   0.821,   0.228, 47,  0,   0.000,   0.000,   0.000,   0.087,   0.036,   0.010,  19.000,  40.000, 121.000,   0.000,   0.000,    3,  78.150
13:52:42:317, 206052172543,    0.433,    8.000, 3400,   6.617,   2.794,   0.776,   2.834,   1.129,   0.313, 49,  0,   0.000,   0.000,   0.000,   0.054,   0.042,   0.012,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  78.727
13:52:42:424, 206319364152,    0.540,    1.000,  500,   3.434,   3.162,   0.878,   0.957,   1.231,   0.342, 46,  0,   0.000,   0.000,   0.000,   0.075,   0.050,   0.014,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  84.868
13:52:42:533, 206592322980,    0.649,    4.000,  500,   6.166,   3.836,   1.066,   3.014,   1.561,   0.433, 48,  0,   0.000,   0.000,   0.000,   0.016,   0.051,   0.014,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  74.821
13:52:42:656, 206899123177,    0.772,    3.000,  600,   5.658,   4.532,   1.259,   1.667,   1.766,   0.490, 47,  0,   0.000,   0.000,   0.000,   0.048,   0.057,   0.016,  19.000,  40.000, 121.000,   0.000,   0.000,   94,  60.947
13:52:42:766, 207172580263,    0.882,    1.000,  600,   4.693,   5.046,   1.402,   1.994,   1.984,   0.551, 47,  0,   0.000,   0.000,   0.000,   0.106,   0.069,   0.019,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  77.887
13:52:42:877, 207449481025,    0.993,    2.000, 2900,   3.172,   5.398,   1.499,   0.782,   2.071,   0.575, 47,  0,   0.000,   0.000,   0.000,   0.077,   0.077,   0.021,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  73.035
13:52:42:986, 207722613018,    1.102,    1.000, 4500,   3.842,   5.818,   1.616,   1.177,   2.200,   0.611, 47,  0,   0.000,   0.000,   0.000,   0.095,   0.088,   0.024,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  78.292
13:52:43:095, 207993356492,    1.211,    3.000,  500,   5.584,   6.424,   1.784,   2.675,   2.490,   0.692, 47,  0,   0.000,   0.000,   0.000,   0.131,   0.102,   0.028,  19.000,  40.000, 121.000,   0.000,   0.000,    1,  84.133
13:52:43:204, 208266825915,    1.320,    1.000, 4500,   4.005,   6.863,   1.906,   0.986,   2.598,   0.722, 47,  0,   0.000,   0.000,   0.000,   0.095,   0.112,   0.031,  19.000,  40.000, 121.000,   0.000,   0.000,  299,  92.403
13:52:43:327, 208573129964,    1.443,    1.000, 4500,   3.130,   7.247,   2.013,   0.930,   2.712,   0.753, 47,  0,   0.000,   0.000,   0.000,   0.089,   0.123,   0.034,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  81.868
13:52:43:438, 208849458269,    1.554,    1.000,  500,   3.224,   7.604,   2.112,   0.699,   2.789,   0.775, 46,  0,   0.000,   0.000,   0.000,   0.109,   0.135,   0.038,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  73.820
13:52:43:546, 209120016023,    1.662,    1.000,  500,   4.189,   8.058,   2.238,   1.047,   2.903,   0.806, 46,  0,   0.000,   0.000,   0.000,   0.028,   0.138,   0.038,  19.000,  40.000, 121.000,   0.000,   0.000,  238,  52.581
13:52:43:654, 209389891756,    1.770,    3.000,  500,   6.069,   8.714,   2.421,   2.564,   3.180,   0.883, 47,  0,   0.000,   0.000,   0.000,   0.119,   0.151,   0.042,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  82.813
13:52:43:764, 209665281231,    1.880,    2.000,  600,   4.145,   9.171,   2.548,   1.281,   3.321,   0.923, 46,  0,   0.000,   0.000,   0.000,   0.094,   0.161,   0.045,  19.000,  40.000, 121.000,   0.000,   0.000,  132,  63.072
13:52:43:874, 209938006294,    1.990,    1.000,  500,   4.189,   9.629,   2.675,   1.208,   3.453,   0.959, 46,  0,   0.000,   0.000,   0.000,   0.120,   0.175,   0.048,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  73.790
13:52:43:984, 210212207038,    2.100,    3.000, 3100,   4.279,  10.099,   2.805,   1.273,   3.593,   0.998, 47,  0,   0.000,   0.000,   0.000,   0.012,   0.176,   0.049,  19.000,  40.000, 121.000,   0.000,   0.000,  149,  60.285
13:52:44:093, 210484833152,    2.209,    3.000,  500,   6.401,  10.798,   2.999,   2.634,   3.881,   1.078, 46,  0,   0.000,   0.000,   0.000,   0.146,   0.192,   0.053,  19.000,  40.000, 121.000,   0.000,   0.000,    2,  86.712
13:52:44:203, 210760632551,    2.319,    2.000,  600,   4.023,  11.243,   3.123,   1.195,   4.013,   1.115, 47,  0,   0.000,   0.000,   0.000,   0.117,   0.205,   0.057,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  81.118
13:52:44:312, 211032170224,    2.428,    5.000,  500,   4.882,  11.774,   3.270,   2.262,   4.259,   1.183, 47,  0,   0.000,   0.000,   0.000,   0.101,   0.216,   0.060,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  75.151
13:52:44:421, 211302945107,    2.537,    1.000, 4500,   4.145,  12.223,   3.395,   0.971,   4.365,   1.212, 46,  0,   0.000,   0.000,   0.000,   0.054,   0.222,   0.062,  19.000,  40.000, 121.000,   0.000,   0.000,  128,  63.806
13:52:44:530, 211576738666,    2.646,    1.000,  600,   3.403,  12.597,   3.499,   1.043,   4.479,   1.244, 47,  0,   0.000,   0.000,   0.000,   0.102,   0.233,   0.065,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  74.123
13:52:44:640, 211851186663,    2.756,    2.000, 4300,   3.522,  12.984,   3.607,   0.945,   4.583,   1.273, 46,  0,   0.000,   0.000,   0.000,   0.122,   0.246,   0.068,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  71.185
13:52:44:748, 212120532976,    2.864,    1.000,  500,   3.358,  13.346,   3.707,   1.001,   4.691,   1.303, 46,  0,   0.000,   0.000,   0.000,   0.066,   0.253,   0.070,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  73.245
13:52:44:858, 212394841586,    2.974,    1.000, 1200,   3.748,  13.758,   3.822,   1.278,   4.831,   1.342, 46,  0,   0.000,   0.000,   0.000,   0.067,   0.261,   0.072,  19.000,  40.000, 121.000,   0.000,   0.000,  184,  59.711
13:52:44:967, 212665336125,    3.082,    2.000, 4300,   3.157,  14.100,   3.917,   0.617,   4.898,   1.361, 46,  0,   0.000,   0.000,   0.000,   0.161,   0.278,   0.077,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  78.719
13:52:45:076, 212938797303,    3.192,    3.000,  600,   7.062,  14.874,   4.132,   2.692,   5.193,   1.443, 46,  0,   0.000,   0.000,   0.000,   0.146,   0.294,   0.082,  19.000,  40.000, 121.000,   0.000,   0.000,    2,  87.601
13:52:45:183, 213207628802,    3.300,    1.000, 3000,   3.524,  15.254,   4.237,   1.035,   5.305,   1.473, 46,  0,   0.000,   0.000,   0.000,   0.124,   0.307,   0.085,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  69.214
13:52:45:294, 213482464453,    3.410,    0.000, 3000,   2.819,  15.564,   4.323,   0.486,   5.358,   1.488, 46,  0,   0.000,   0.000,   0.000,   0.143,   0.323,   0.090,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  57.098
13:52:45:404, 213756840265,    3.520,    1.000, 3400,   2.794,  15.871,   4.409,   0.597,   5.424,   1.507, 46,  0,   0.000,   0.000,   0.000,   0.077,   0.332,   0.092,  19.000,  40.000, 121.000,   0.000,   0.000,  226,  81.260
13:52:45:514, 214030878674,    3.630,    1.000,  500,   3.333,  16.237,   4.510,   0.905,   5.523,   1.534, 45,  0,   0.000,   0.000,   0.000,   0.135,   0.346,   0.096,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  93.804
13:52:45:622, 214301056299,    3.738,    0.000, 4500,   3.113,  16.574,   4.604,   0.787,   5.608,   1.558, 46,  0,   0.000,   0.000,   0.000,   0.133,   0.361,   0.100,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  72.486
13:52:45:730, 214571672662,    3.846,    0.000,  500,   3.358,  16.938,   4.705,   0.769,   5.692,   1.581, 46,  0,   0.000,   0.000,   0.000,   0.114,   0.373,   0.104,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  73.210
13:52:45:840, 214845330446,    3.956,    1.000,  600,   3.296,  17.299,   4.805,   1.100,   5.812,   1.615, 46,  0,   0.000,   0.000,   0.000,   0.096,   0.384,   0.107,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  82.083
13:52:45:950, 215119092961,    4.066,    1.000,  500,   3.313,  17.663,   4.906,   0.832,   5.904,   1.640, 46,  0,   0.000,   0.000,   0.000,   0.100,   0.395,   0.110,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  75.630
13:52:46:058, 215389135079,    4.174,   10.000,  600,   4.275,  18.125,   5.035,   1.437,   6.059,   1.683, 46,  0,   0.000,   0.000,   0.000,   0.175,   0.414,   0.115,  19.000,  40.000, 121.000,   0.000,   0.000,    1,  81.195
13:52:46:166, 215659652495,    4.282,    1.000,  600,   3.887,  18.546,   5.152,   1.062,   6.174,   1.715, 46,  0,   0.000,   0.000,   0.000,   0.114,   0.426,   0.118,  19.000,  40.000, 121.000,   0.000,   0.000,    3,  71.068
13:52:46:277, 215936277197,    4.393,    1.000, 3300,   4.618,  19.058,   5.294,   1.260,   6.314,   1.754, 46,  0,   0.000,   0.000,   0.000,   0.072,   0.434,   0.121,  19.000,  40.000, 121.000,   0.000,   0.000,  138,  52.284
13:52:46:385, 216207570838,    4.502,    2.000,  600,   3.647,  19.455,   5.404,   1.005,   6.423,   1.784, 46,  0,   0.000,   0.000,   0.000,   0.088,   0.443,   0.123,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  74.643
13:52:46:495, 216480113848,    4.611,    2.000,  600,   2.694,  19.749,   5.486,   1.048,   6.537,   1.816, 45,  0,   0.000,   0.000,   0.000,   0.054,   0.449,   0.125,  19.000,  40.000, 121.000,   0.000,   0.000,  106,  66.891
13:52:46:605, 216755542231,    4.721,    0.000,  500,   1.289,  19.891,   5.525,   0.532,   6.596,   1.832, 45,  0,   0.000,   0.000,   0.000,   0.030,   0.453,   0.126,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  80.863
13:52:46:714, 217027518798,    4.830,    0.000,  600,   1.316,  20.034,   5.565,   0.569,   6.658,   1.850, 45,  0,   0.000,   0.000,   0.000,   0.038,   0.457,   0.127,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  72.260
13:52:46:823, 217298796220,    4.939,    2.000, 3900,   2.018,  20.254,   5.626,   1.014,   6.768,   1.880, 46,  0,   0.000,   0.000,   0.000,   0.001,   0.457,   0.127,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  74.864
13:52:46:933, 217573601708,    5.049,    0.000,  600,   1.321,  20.399,   5.666,   0.664,   6.842,   1.900, 45,  0,   0.000,   0.000,   0.000,   0.052,   0.463,   0.128,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  75.027
13:52:47:045, 217855333812,    5.162,   14.000, 4500,   1.543,  20.573,   5.715,   0.743,   6.925,   1.924, 47,  0,   0.000,   0.000,   0.000,   0.008,   0.463,   0.129,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  82.145
13:52:47:151, 218117701593,    5.267,    1.000,  600,   2.008,  20.784,   5.773,   0.927,   7.023,   1.951, 45,  0,   0.000,   0.000,   0.000,   0.015,   0.465,   0.129,  19.000,  40.000, 121.000,   0.000,   0.000,   16,  93.303
13:52:47:260, 218390423415,    5.376,    1.000,  500,   1.192,  20.915,   5.810,   0.409,   7.068,   1.963, 45,  0,   0.000,   0.000,   0.000,   0.028,   0.468,   0.130,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  73.913
13:52:47:369, 218660977825,    5.485,    1.000, 3700,   4.534,  21.406,   5.946,   1.130,   7.190,   1.997, 45,  0,   0.000,   0.000,   0.000,   0.038,   0.472,   0.131,  19.000,  40.000, 121.000,   0.000,   0.000,  207,  57.947
13:52:47:478, 218934949311,    5.594,    2.000,  500,   2.836,  21.717,   6.033,   1.485,   7.353,   2.042, 45,  0,   0.000,   0.000,   0.000,   0.023,   0.475,   0.132,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  85.725
13:52:47:586, 219204888693,    5.702,    1.000,  500,   1.178,  21.845,   6.068,   0.595,   7.417,   2.060, 45,  0,   0.000,   0.000,   0.000,   0.027,   0.478,   0.133,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  72.383
13:52:47:696, 219478825913,    5.812,    2.000, 3300,   2.686,  22.140,   6.150,   1.667,   7.600,   2.111, 46,  0,   0.000,   0.000,   0.000,   0.030,   0.481,   0.134,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  76.274
13:52:47:806, 219752060256,    5.922,    0.000,  600,   2.736,  22.439,   6.233,   0.469,   7.652,   2.125, 45,  0,   0.000,   0.000,   0.000,   0.056,   0.487,   0.135,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  81.373
13:52:47:915, 220023975403,    6.031,    1.000, 4500,   1.610,  22.615,   6.282,   0.746,   7.733,   2.148, 45,  0,   0.000,   0.000,   0.000,   0.076,   0.495,   0.138,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  76.086
13:52:48:023, 220295413131,    6.139,    2.000,  500,   1.209,  22.746,   6.318,   0.437,   7.780,   2.161, 46,  0,   0.000,   0.000,   0.000,   0.071,   0.503,   0.140,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  74.348
13:52:48:134, 220571474851,    6.250,    2.000, 4500,   2.605,  23.034,   6.398,   1.649,   7.963,   2.212, 45,  0,   0.000,   0.000,   0.000,   0.064,   0.510,   0.142,  19.000,  40.000, 121.000,   0.000,   0.000,    2,  78.288
13:52:48:242, 220841741608,    6.358,    1.000, 3200,   1.177,  23.162,   6.434,   0.552,   8.023,   2.228, 45,  0,   0.000,   0.000,   0.000,   0.063,   0.517,   0.144,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  65.015
13:52:48:351, 221112666521,    6.467,    1.000, 4300,   2.230,  23.404,   6.501,   1.002,   8.131,   2.259, 46,  0,   0.000,   0.000,   0.000,   0.015,   0.519,   0.144,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  83.401
13:52:48:461, 221388929604,    6.577,    1.000,  400,   3.734,  23.817,   6.616,   0.939,   8.235,   2.288, 46,  0,   0.000,   0.000,   0.000,   0.081,   0.527,   0.147,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  84.744
13:52:48:571, 221661477470,    6.687,    3.000, 3100,   5.775,  24.448,   6.791,   2.103,   8.465,   2.351, 45,  0,   0.000,   0.000,   0.000,   0.082,   0.536,   0.149,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  77.537
13:52:48:679, 221932487519,    6.795,    1.000, 3000,   4.890,  24.978,   6.938,   1.829,   8.663,   2.407, 45,  0,   0.000,   0.000,   0.000,   0.022,   0.539,   0.150,  19.000,  40.000, 121.000,   0.000,   0.000,  300,  78.613
13:52:48:789, 222205457585,    6.905,    1.000, 2500,   3.693,  25.382,   7.051,   1.466,   8.824,   2.451, 46,  0,   0.000,   0.000,   0.000,   0.107,   0.551,   0.153,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  80.170
13:52:48:898, 222479024291,    7.014,    3.000, 4500,   5.004,  25.931,   7.203,   2.258,   9.071,   2.520, 45,  0,   0.000,   0.000,   0.000,   0.025,   0.553,   0.154,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  75.364
13:52:49:006, 222749364288,    7.123,    3.000, 4300,   4.970,  26.469,   7.353,   1.941,   9.281,   2.578, 46,  0,   0.000,   0.000,   0.000,   0.119,   0.566,   0.157,  19.000,  40.000, 121.000,   0.000,   0.000,    2,  64.240
13:52:49:116, 223023404823,    7.232,    4.000,  500,   5.201,  27.040,   7.511,   1.436,   9.439,   2.622, 46,  0,   0.000,   0.000,   0.000,   0.098,   0.577,   0.160,  19.000,  40.000, 121.000,   0.000,   0.000,    5,  89.203
13:52:49:134, 223067886430,    7.250,    3.000, 3400,   2.716,  27.088,   7.525,   0.301,   9.444,   2.623, 45,  0,   0.000,   0.000,   0.000,   0.014,   0.577,   0.160,  19.000,  40.000, 121.000,   0.000,   0.000,  140,  62.558

Total Elapsed Time (sec) = 7.250121
Measured RDTSC Frequency (GHz) = 2.496

Cumulative Processor Energy_0 (Joules) = 27.088440
Cumulative Processor Energy_0 (mWh) = 7.524567
Average Processor Power_0 (Watt) = 3.736274

Cumulative IA Energy_0 (Joules) = 9.444458
Cumulative IA Energy_0 (mWh) = 2.623461
Average IA Power_0 (Watt) = 1.302662

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.577148
Cumulative GT Energy_0 (mWh) = 0.160319
Average GT Power_0 (Watt) = 0.079605
